.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Alabama,2005,16th,"11,124","11,658","862,286","149,446","129,272","1,237,951",69,551,12,"2,145",65,357,,,959,370,197,"59,661","16,502","15,683","15,712","3,919",,Urban Interstate Percent Congested,47.03%
Alaska,2005,16th,"6,420","28,067","378,618","163,784","46,045","640,836",43,"1,014",165,651,-,69,,,64,33,7,"5,035","1,295","1,152","1,029",235,,Urban Interstate Percent Congested,8.70%
Arizo,2005,16th,"6,959","36,665","865,879","105,569","187,632","1,706,328",-,979,-,"1,156",-,186,,,916,288,308,"59,799","12,353","26,069","6,984",384,,Urban Interstate Percent Congested,47.87%
Arkansas,2005,16th,"16,444","18,503","638,894","165,961","29,674","914,970",12,465,11,"2,225",11,188,,,535,320,78,"31,972","12,692","7,435","12,359","2,749",,Urban Interstate Percent Congested,54.79%
California,2005,16th,"18,230","50,559","2,865,105","792,055","922,702","6,142,680",49,"1,324",18,"3,596",151,"1,134",,,"4,029","1,122","1,571","329,267","47,417","182,301","24,683","4,341",,Urban Interstate Percent Congested,83.33%
Colorado,2005,16th,"10,343","22,942","603,948","335,312","70,909","1,398,900",8,686,28,"2,321",19,270,,,545,224,175,"47,962","11,275","21,928","8,504","1,102",,Urban Interstate Percent Congested,42.75%
Connecticut,2005,16th,"3,960","9,777","555,676","149,167","57,673","1,410,671",-,44,1,163,12,302,,,222,19,102,"31,675","2,011","17,210","4,151","1,419",,Urban Interstate Percent Congested,65.56%
Delaware,2005,16th,"5,243","11,502","357,736","116,357","194,892","1,103,767",-,-,-,162,2,40,,,94,29,27,"9,508","1,655","3,809",846,140,,Urban Interstate Percent Congested,58.54%
Florida,2005,16th,"12,040","41,477","4,063,856","1,088,539","193,956","6,865,095",-,744,-,"2,848",1,717,,,"2,164",579,"1,229","201,531","25,276","77,084","11,126","2,039",,Urban Interstate Percent Congested,59.44%
Georgia,2005,16th,"18,274","47,003","1,159,180","184,991","204,687","1,991,963",-,716,-,"2,606",-,528,,,"1,145",422,267,"113,509","24,081","35,728","14,316","2,913",,Urban Interstate Percent Congested,52.46%
Hawaii,2005,16th,975,"2,415","209,440","31,484","48,676","479,211",-,6,-,110,14,50,,,122,48,35,"10,083","1,258","4,296","1,156",426,,Urban Interstate Percent Congested,34.69%
Idaho,2005,16th,"4,957","22,837","321,519","57,888","25,452","434,662",2,521,-,"1,706",9,92,,,234,127,26,"14,866","5,303","3,069","3,553",672,,Urban Interstate Percent Congested,34.07%
Illinois,2005,16th,"16,521","12,041","1,943,765","487,322","222,065","3,177,290",3,"1,463",19,"2,520",40,707,,,"1,159",286,413,"107,706","19,956","43,551","26,103","4,583",,Urban Interstate Percent Congested,48.64%
India,2005,16th,"11,183","41,833","832,250","423,659","60,702","1,549,073",-,853,3,"1,742",6,316,,,507,201,31,"71,799","19,636","18,481","18,408","4,019",,Urban Interstate Percent Congested,30.99%
Iowa,2005,16th,"9,266","28,317","528,933","124,000","47,701","814,352",13,628,85,"3,412",26,153,,,380,232,13,"31,060","13,017","6,163","24,587","6,654",,Urban Interstate Percent Congested,39.87%
Kansas,2005,16th,"10,548","23,917","707,018","145,911","66,725","1,126,993",-,646,1,"3,019",-,196,,,367,204,42,"29,621","9,702","8,983","25,827","5,436",,Urban Interstate Percent Congested,24.77%
Kentucky,2005,16th,"27,753","60,971","847,748","245,991","110,720","1,501,180",-,552,-,"2,335",3,209,,,824,299,118,"47,466","16,460","12,517","13,542","4,259",,Urban Interstate Percent Congested,66.99%
Louisia,2005,16th,"16,696","38,447","962,512","355,945","47,367","1,386,782",7,477,15,970,24,316,,,760,270,163,"44,979","10,923","15,372","13,181","4,042",,Urban Interstate Percent Congested,45.74%
Maine,2005,16th,"8,684","8,756","256,544","163,532","27,236","593,496",-,298,19,789,1,68,,,136,73,2,"14,925","6,031","1,783","2,280",681,,Urban Interstate Percent Congested,2.94%
Maryland,2005,16th,"5,277","14,621","983,356","269,822","54,921","1,549,014",1,182,1,432,22,287,,,540,129,238,"56,319","9,316","29,327","4,976","1,340",,Urban Interstate Percent Congested,68.58%
Massachusetts,2005,16th,"3,257","18,136","1,151,518","171,900","198,049","2,909,271",-,90,-,166,4,478,,,382,19,183,"55,458","2,770","32,237","4,945","1,799",,Urban Interstate Percent Congested,47.38%
Michigan,2005,16th,"9,735","27,567","1,316,860","267,523","104,723","2,461,778",47,609,9,"2,583",81,634,,,929,297,281,"104,052","19,861","42,770","10,846","2,993",,Urban Interstate Percent Congested,52.52%
Minnesota,2005,16th,"13,182","29,086","856,449","343,838","127,895","1,450,885",-,680,5,"3,582",6,234,,,474,233,56,"56,904","18,520","14,938","13,658","1,798",,Urban Interstate Percent Congested,77.78%
Mississippi,2005,16th,"10,948","72,645","560,562","92,558","42,912","816,906",11,485,33,"1,887",7,195,,,750,196,80,"42,186","13,127","8,752","16,499","4,359",,Urban Interstate Percent Congested,32.65%
Missouri,2005,16th,"32,464","26,756","940,764","465,315","64,580","1,702,807",5,799,22,"3,182",21,380,,,"1,053",498,200,"68,754","20,997","21,913","23,972","7,545",,Urban Interstate Percent Congested,47.95%
Monta,2005,16th,"10,789","24,480","360,763","64,438","41,601","506,055",6,"1,129",1,"2,617",7,60,,,208,155,17,"11,126","6,041","1,280","4,363",925,,Urban Interstate Percent Congested,0.00%
Nebraska,2005,16th,"10,256","168,655","386,604","101,442","51,608","612,456",9,424,15,"2,237",8,57,,,220,130,35,"19,291","8,316","4,169","15,433","3,789",,Urban Interstate Percent Congested,34.48%
Nevada,2005,16th,"5,922","16,832","519,456","87,011","45,506","789,885",-,450,-,"1,405",2,111,,,308,124,84,"20,776","3,986","7,032","1,772",69,,Urban Interstate Percent Congested,47.32%
New Hampshire,2005,16th,"4,004","22,440","85,484","136,271","42,678","353,118",-,151,15,358,-,74,,,120,44,19,"13,429","3,683","3,988","2,423",740,,Urban Interstate Percent Congested,51.35%
New Jersey,2005,16th,"2,906","8,819","1,743,540","447,075","198,630","6,859,467",6,64,2,247,46,360,,,646,69,352,"73,819","4,358","42,236","6,411","1,789",,Urban Interstate Percent Congested,73.35%
New Mexico,2005,16th,"12,205","8,486","293,521","172,023","139,945","824,824",-,845,2,"1,831",4,155,,,405,235,32,"23,966","9,333","6,863","3,712",684,,Urban Interstate Percent Congested,16.77%
New York,2005,16th,"15,707","29,291","2,309,108","1,126,890","293,513","8,682,936",124,931,72,"1,827",117,711,,,"1,147",244,425,"137,521","19,692","53,483","17,367","6,440",,Urban Interstate Percent Congested,53.39%
North Caroli,2005,16th,"79,779","13,072","2,075,266","792,408","347,764","3,562,491",14,521,33,"1,984",56,562,,,"1,042",380,168,"101,268","20,307","31,071","17,974","5,555",,Urban Interstate Percent Congested,
North Dakota,2005,16th,"7,405","38,084","284,581","37,593","13,222","353,106",-,521,30,"2,934",-,51,,,86,65,3,"7,570","3,594",991,"4,431","1,074",,Urban Interstate Percent Congested,0.00%
Ohio,2005,16th,"22,461","48,857","1,588,219","431,320","168,964","2,759,093",-,724,6,"1,970",12,850,,,"1,063",291,226,"110,491","20,325","41,885","30,523","7,205",,Urban Interstate Percent Congested,59.95%
Oklahoma,2005,16th,"13,389","29,936","478,244","183,233","93,077","950,405",8,684,25,"2,309",34,241,,,594,271,133,"47,019","12,795","12,693","23,571","7,787",,Urban Interstate Percent Congested,34.68%
Oregon,2005,16th,"12,065","18,239","723,430","109,160","73,537","1,111,216",-,554,22,"2,775",-,171,,,440,219,66,"35,282","11,145","11,045","6,626","1,679",,Urban Interstate Percent Congested,38.95%
Pennsylvania,2005,16th,"43,283","88,320","2,122,168","1,214,509","314,245","4,352,473",15,"1,069",10,"1,940",16,673,,,"1,315",419,384,"108,042","24,605","39,930","23,527","9,175",,Urban Interstate Percent Congested,43.17%
Rhode Island,2005,16th,"1,102","2,898","184,844","82,106","26,978","397,939",-,22,5,48,-,49,,,84,8,50,"8,300",628,"5,252",764,405,,Urban Interstate Percent Congested,62.00%
